OPENDATA_IDENTIFICADOR,PROMOTOR,TIPUS_ACCES,VELOCITAT_CARREGA1,TIPUS_CONNEXIO1,VELOCITAT_CARREGA2,TIPUS_CONNEXIO2,VELOCITAT_CARREGA3,TIPUS_CONNEXIO3,Latitude,Longitude,DESIGNACIO_DESCRIPTIVA,ADREÇA,MUNICIPI,CODI_INE,PROVINCIA,CODI_PROV,NUM_PLACES_CARREGA,TIPUS_VEHICLE1,TIPUS_VEHICLE2,TELEFON,CODI_ASIA,CODI_BCN
08-0193-22-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.411148,2.174359,B:SM 2 - Avinguda Gaudí,Carrer de Cartagena, 319 (E1) , Carrer dels Castillejos, 330 (E2),Barcelona,0193,Barcelona,08,4,cotxe,,93.435.17.46,92086026153,BSM006
08-0193-22-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.411148,2.174359,B:SM 2 - Avinguda Gaudí,Carrer de Cartagena, 319 (E1) , Carrer dels Castillejos, 330 (E2),Barcelona,0193,Barcelona,08,4,moto,,93.435.17.46,92086026153,BSM006
08-0193-23-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.384186,2.122279,B:SM 38 - Tanatori Les Corts,Avinguda  de Joan XXIII, 23 - 25,Barcelona,0193,Barcelona,08,4,cotxe,,93.339.72.16,99400157899,BSM007
08-0193-23-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.384186,2.122279,B:SM 38 - Tanatori Les Corts,Avinguda  de Joan XXIII, 23 - 25,Barcelona,0193,Barcelona,08,4,cotxe,,93.339.72.16,99400157899,BSM007
08-0193-23-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.384186,2.122279,B:SM 38 - Tanatori Les Corts,Avinguda  de Joan XXIII, 23 - 25,Barcelona,0193,Barcelona,08,4,moto,,93.339.72.16,99400157899,BSM007
08-0193-23-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.384186,2.122279,B:SM 38 - Tanatori Les Corts,Avinguda  de Joan XXIII, 23 - 25,Barcelona,0193,Barcelona,08,4,moto,,93.339.72.16,99400157899,BSM007
08-0193-24-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.37212,2.156625,B:SM 7 - Ciutat del Teatre,Carrer de la França Xica, 35,Barcelona,0193,Barcelona,08,3,cotxe,,93.424.61.60,99400032112,BSM008
08-0193-24-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.37212,2.156625,B:SM 7 - Ciutat del Teatre,Carrer de la França Xica, 35,Barcelona,0193,Barcelona,08,3,cotxe,,93.424.61.60,99400032112,BSM008
08-0193-24-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.37212,2.156625,B:SM 7 - Ciutat del Teatre,Carrer de la França Xica, 35,Barcelona,0193,Barcelona,08,3,cotxe,,93.424.61.60,99400032112,BSM008
08-0193-25-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.426834,2.184219,B:SM 8 - Concepció Arenal,Carrer de Concepción Arenal, 156,Barcelona,0193,Barcelona,08,4,cotxe,,93.340.60.95,99400147898,BSM009
